Species,Longitude,Latitude
Leopardus_wiedii,-72.233056,7.122778
Leopardus_wiedii,-72.996529,7.997179
Leopardus_wiedii,-72.5304,7.8972
Leopardus_wiedii,-72.447167,7.418444
Leopardus_wiedii,-72.364833,7.29875
Mazama_rufina,-72.6765,7.34308
Mazama_rufina,-72.66231,7.35447
Mazama_rufina,-72.68331,7.33289
Mazama_rufina,-72.6875,7.32553
Mazama_rufina,-72.44389,7.42528
Mazama_rufina,-72.36483,7.29875
Mazama_rufina,-72.37283,7.2953
Mazama_rufina,-72.49189,7.46147
Mazama_rufina,-72.23408,7.20297
Mazama_rufina,-72.5375,7.48117
Mazama_rufina,-72.10783,7.11925
Mazama_rufina,-72.34972,7.38722
Mazama_rufina,-72.51392,7.44614
Mazama_rufina,-72.46569,7.389
Mazama_rufina,-72.46761,7.43103
Mazama_rufina,-72.69512,7.02244
Mazama_rufina,-72.81455,7.34743
Tremarctos_ornatus,-72.917033,7.65063
Tremarctos_ornatus,-72.92025,7.646
Tremarctos_ornatus,-72.4655,7.4305
Tremarctos_ornatus,-72.4642,7.4296
Tremarctos_ornatus,-72.4653,7.4333
Tremarctos_ornatus,-72.3376,7.3259
Tremarctos_ornatus,-72.326,7.3288
Tremarctos_ornatus,-72.465,7.4303
Tremarctos_ornatus,-72.3311,7.3274
Tremarctos_ornatus,-72.3292,7.3285
Tremarctos_ornatus,-72.3228,7.32
Tremarctos_ornatus,-72.4659,7.4343
Tremarctos_ornatus,-72.4655,7.4338
Tremarctos_ornatus,-72.443889,7.425278
Tremarctos_ornatus,-72.233056,7.122778
Tremarctos_ornatus,-72.707695,7.120172
