Species,Longitude,Latitude
Tremarctos ornatus,-73.310937,5.159837
Tremarctos ornatus,-73.033824,7.028384
Tremarctos ornatus,-78.281435,-0.909257
Tremarctos ornatus,-65.930997,-17.398783
Tremarctos ornatus,-75.069336,2.750614
Tremarctos ornatus,-72.917033,7.65063
Tremarctos ornatus,-78.062862,-1.570662
Tremarctos ornatus,-77.81585,0.560344
Tremarctos ornatus,-76.1616,6.6167
Tremarctos ornatus,-75.6675,2.672222
Tremarctos ornatus,-78.552534,-1.288145
Tremarctos ornatus,-79.145994,-3.811793
Tremarctos ornatus,-75.805051,7.010313
Tremarctos ornatus,-73.826764,4.986047
Tremarctos ornatus,-73.558517,5.807583
Tremarctos ornatus,-73.0778,6.095
Tremarctos ornatus,-76.6882,1.9049
Tremarctos ornatus,-77.923407,-0.193166
Tremarctos ornatus,-78.143194,0.875699
Tremarctos ornatus,-76.0787,4.9729
Tremarctos ornatus,-76.374152,2.334023
Tremarctos ornatus,-78.352635,-0.458394
Tremarctos ornatus,-72.7395,10.6731
Tremarctos ornatus,-71.058,8.683529
Tremarctos ornatus,-72.341696,6.70877
Tremarctos ornatus,-74.681363,3.790184
Tremarctos ornatus,-76.953054,0.963953
Tremarctos ornatus,-72.4077,6.2208
Tremarctos ornatus,-78.678449,0.114286
Tremarctos ornatus,-75.99,1.46194
Tremarctos ornatus,-72.5898,5.8026
Tremarctos ornatus,-72.4655,7.4305
Tremarctos ornatus,-73.712918,4.532654
Tremarctos ornatus,-79.734998,-3.580299
Tremarctos ornatus,-76.9385,1.5123
Tremarctos ornatus,-75.34645,-11.30368
Tremarctos ornatus,-78.141216,0.217317
Tremarctos ornatus,-75.889941,5.535894
Tremarctos ornatus,-76.018031,1.937145
Tremarctos ornatus,-75.854978,-9.774358
Tremarctos ornatus,-75.833667,3.888889
Tremarctos ornatus,-75.209787,7.082879
Tremarctos ornatus,-76.501529,-9.302172
Tremarctos ornatus,-76.057833,3.451917
